Company Name,ISIN,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Net-Zero Committed
Iren  Group,,Targets Set,Well-below 2°C,2030,No
"Inmobiliaria Colonial, SOCIMI, S.A.",,Targets Set,1.5°C,,No
Physicians Realty Trust,,Targets Set,Well-below 2°C,,No
"Shinnihon Printing, Inc.",,Targets Set,Well-below 2°C,,No
"Energy Solution Japan Co., Ltd.",,Targets Set,1.5°C,,No
Sponda Ltd,,Targets Set,1.5°C,,No
"Nihon Dengyo Kosaku Co., Ltd.",,Targets Set,Well-below 2°C,,No
Aasted ApS,,Targets Set,1.5°C,,No
"Nakashimada Engineering Works, Ltd.",,Targets Set,1.5°C,,No
Szerelmey Ltd,,Targets Set,1.5°C,,No
"Ace Technologies Co.,Ltd.",131-81-95829,Committed,,,Yes
AÇO VERDE DO BRASIL.S.A,07.636.657/0002-70,Committed,,,Yes
Americanas S.A.,BRAMERACNOR6,Committed,,,Yes
ASR Group International Inc.,,Committed,,,Yes
Booking Holdings Inc.,US09857L1089,Committed,,,Yes
"Del Monte Foods, Inc.",EIN: 46-3991361,Committed,,,Yes
"Dongguan NVT Technology Co.,Ltd.",,Committed,,,Yes
Fine Grain Property (Ireland) Limited,,Committed,,,Yes
Flipkart Group,,Committed,,,Yes
Intesa Sanpaolo,IT0000072618,Committed,,,Yes
"Jia Hsin Co., Ltd",,Committed,,,Yes
Keolis,,Committed,,,Yes
Kiilto,,Committed,,,Yes
Meridian Energy,NZMELE0002S7,Committed,,,Yes
PT PRIMA SEJATI SEJAHTERA,,Committed,,,Yes
SES S.A.,LU0088087324,Committed,,,Yes
SUNREX TECHNOLOGY CORP.,TW0002387008,Committed,,,Yes
Systembolaget AB,,Committed,,,Yes
ANADOLU ISUZU OTOMOTİV SAN. VE TİC. A.Ş.,,Committed,,,No
AZURA Group,,Committed,,,No
Finnair Plc,FI0009003230,Committed,,,No
Guerbet,FR0000032526,Committed,,,No
"Hankook Tire & Technology Co., Ltd.",KR7000240002,Committed,,,No
Ingredion Incorporated,US4571871023,Committed,,,No
"Lexmark International, Inc.",,Committed,,,No
Oriental Aromatics Ltd,INE959C01023,Committed,,,No
Yokogawa Electric Corporation,JP3955000009,Committed,,,No
National Grid Electricity System Operator (ESO),,Targets Set,1.5°C,"2030, 2031",No
Hays plc,,Targets Set,1.5°C,2030,No
"Changzhou Wuitu Smart Technology Co.,Ltd.",,Targets Set,1.5°C,2030,No
Save The Duck S.p.A.,,Targets Set,1.5°C,2030,No
"takeuchimokuzaikougyou Co.,Ltd",,Targets Set,Well-below 2°C,2030,No
ALIMAC s.r.l.,,Targets Set,1.5°C,2030,No
ChuSanRen (Central Japan Industries Association),,Targets Set,1.5°C,2030,No
"wing Co., LTD",,Targets Set,1.5°C,2030,No
Sinituote Oy,,Targets Set,1.5°C,2030,No
"Kawamura Sangyo Co.,Ltd.",,Targets Set,1.5°C,2030,No
QBS Technology Group,,Targets Set,1.5°C,2030,No
Hawaiian Electric,,Committed,,,Yes
China Development Financial Holding Corporation,TW0002883006,Committed,,,Yes
CNP Assurances,FR0000120222,Committed,,,Yes
Cobalt Fashion Holding Limited,n.a,Committed,,,Yes
Crayon Group Holding ASA,NA,Committed,,,Yes
Edrington,N/a,Committed,,,Yes
ELECTRO AÇO ALTONA S A,"BREALTACNOR4, BREALTACNPR1,BREALTTNO006,BREALTTNP003, BREALTTSO005, BREALTTSP002, BREALTTUO001, BREALTTUP008",Committed,,,Yes
Ermenegildo Zegna NV,NL0015000PB5,Committed,,,Yes
Geely Automobile Holdings Limited,KYG3777B1032,Committed,,,Yes
Giesecke+Devrient GmbH,n/a,Committed,,,Yes
Highland Spring Limited,Highland Spring Limited,Committed,,,Yes
Howdens Joinery Ltd,n/a,Committed,,,Yes
Landis+Gyr Group AG,CH0371153492,Committed,,,Yes
Privi Speciality Chemicals Limited,INE959A01019,Committed,,,Yes
Publicis Groupe,FR0000130577,Committed,,,Yes
Silgan Closures,UFU82239AK75,Committed,,,Yes
Storytel AB (publ),SE0007439443,Committed,,,Yes
Summa Equity,N/A,Committed,,,Yes
TVS Supply Chain Solutions Limited,n/a,Committed,,,Yes
Abertis Infraestructuras,"ES0111845014 - ABE/AC 3,00",Committed,,,No
BOBST GROUP SA,N/A,Committed,,,No
CECONOMY AG,DE0007257503,Committed,,,No
CNH Industrial N.V.,NL0010545661,Committed,,,No
Forsters LLP,n/a,Committed,,,No
Groupe Pierre et Vacances Center Parcs,FR0000073041,Committed,,,No
Hansoll Textile Ltd.,,Committed,,,No
Interplex Precision Technology (S) Pte Ltd,,Committed,,,No
SAVERGLASS,,Committed,,,No
Seifert Logistics GmbH,,Committed,,,No
VINCI SA,,Targets Set,Well-below 2°C,2030,No
Bulten AB,,Targets Set,Well-below 2°C,2030,No
OVS S.p.A,,Targets Set,1.5°C,2030,No
Reliance Jio Infocomm Limited,,Targets Set,1.5°C,2028,No
Reform,,Targets Set,1.5°C,2030,No
BDB Pitmans LLP,,Targets Set,1.5°C,2030,No
Max Fordham LLP,,Targets Set,1.5°C,2030,No
Gugler GmbH,,Targets Set,1.5°C,2030,No
Parade,,Targets Set,1.5°C,2030,No
KOYOSHA INC.,,Targets Set,1.5°C,2030,No
Danoffice IT,,Targets Set,1.5°C,2030,No
AKISTEEL CO.LTD,,Targets Set,Well-below 2°C,2030,No
System Standex A/S,,Targets Set,1.5°C,2030,No
"Mie EneWood, LTD.",,Targets Set,1.5°C,2030,No
Harris Tea Company,,Targets Set,Well-below 2°C,2030,No
A1 Telekom Austria Group,AT0000720008,Targets Set,1.5°C,2030,No
A2A S.p.A.,IT0001233417,Targets Set,2°C,"2030, 2024",No
Aardvark Certification Ltd,,Targets Set,Well-below 2°C,2030,No
AB InBev,BE0974293251,Targets Set,1.5°C,2025,No
ABB,CH0012221716,Targets Set,1.5°C,2030,Yes
Abdi Ibrahim Pharmaceuticals,,Committed,,,No
ABN Amro Bank N.V.,NL0011540547,Committed,,,No
ABP Food Group,,Targets Set,2°C,2030,No
ACC Limited,,Targets Set,Well-below 2°C,2030,Yes
Accenture PLC,IE00B4BNMY34,Targets Set,1.5°C,2025,Yes
ACCIONA S.A.,ES0125220311,Targets Set,1.5°C,2030,Yes
Accor S.A.,FR0000120404,Targets Set,1.5°C,2030,Yes
Aceros AZA S.A.,,Committed,,,Yes
Actiam NV,,Committed,,,No
Adani Green Energy Ltd.,INE364U01010,Committed,,,No
Adani Ports and Special Economic Zone Limited,,Committed,,,Yes
Adidas AG,DE000A1EWWW0,Targets Set,1.5°C,"2025, 2030",No
"Adobe, Inc.",US00724F1012,Targets Set,1.5°C,2025,Yes
Adva Optical Networking SE,DE0005103006,Targets Set,1.5°C,2032,No
"Advanced Micro Devices, Inc",US0079031078,Targets Set,Well-below 2°C,2020,No
Advantest Corporation,,Targets Set,1.5°C,2030,No
AECOM,US00766T1007,Targets Set,Well-below 2°C,2025,No
"Aeon Co., Ltd.",JP3388200002,Targets Set,1.5°C,"2030, 2021",No
AES Brasil,,Committed,,,No
Agder Energi,NO0010895378,Targets Set,1.5°C,"2030, 2025",No
Agility,,Committed,,,No
Aguas Andinas S.A.,,Targets Set,1.5°C,2030,No
Air Liquide Group S.A.,FR0000120073,Committed,,,No
"Ajinomoto Co., Inc.",JP3119600009,Targets Set,1.5°C,2030,Yes
Alaya Consulting Ltd.,,Targets Set,2°C,2023,Yes
Albaraka Türk Participation Bank,TREALBK00011,Committed,,,No
ALDI Einkauf GmbH & Co. oHG (Aldi Nord),,Committed,,,No
ALDI SOUTH Group,,Targets Set,Well-below 2°C,"2025, 2024",No
ALDO Group Inc.,,Targets Set,Well-below 2°C,2030,No
Allianz Investment Management SE,DE0008404005,Committed,,,No
Allied Sustainability and Environmental Consultants Group Limited,,Targets Set,Well-below 2°C,2030,Yes
"Alltech, Inc.",,Committed,,,No
Alma Media,FI0009013114,Targets Set,2°C,"2025, 2023",Yes
Alstom,FR0010220475,Targets Set,1.5°C,"2025, 2030",No
alstria office REIT-AG,DE000A0LD2U1,Targets Set,1.5°C/Well-below 2°C,2030,No
Altri SGPS S.A.,PTALT0AE0002,Committed,,,No
"Altria Group, Inc.",US02209S1033,Targets Set,1.5°C,2030,No
Amalgamated Bank,US0226631085,Targets Set,1.5°C,,No
Amazon,,Committed,,,No
Ambev S.A.,BRABEVACNOR1,Committed,,,No
Ambuja Cement Ltd,INE079A01024,Targets Set,Well-below 2°C,2030,Yes
Amdocs Ltd.,GB0022569080,Targets Set,1.5°C,2024,No
"America Movil, S.A.B. de C.V.",MXP001691213,Targets Set,1.5°C,2030,Yes
"American Eagle Outfitters, Inc.",US02553E1064,Targets Set,1.5°C,2030,No
AMF FASTIGHETER AB,,Targets Set,1.5°C,2030,No
An Post,,Committed,,,Yes
ANA Holdings Inc.,,Committed,,,No
Anritsu Corporation,,Targets Set,2°C,2030,No
"Anthem, Inc.",US0367521038,Committed,,,No
Apotea,,Targets Set,1.5°C,2025,No
Applied Materials,,Committed,,,No
AptarGroup Inc.,US0383361039,Targets Set,Well-below 2°C,2030,No
Aqua America,US03836W1036,Committed,,,No
Arab Printing Press,,Committed,,,No
Arabesque S-Ray Gmbh,,Targets Set,Well-below 2°C,2030,No
Arauco,,Committed,,,Yes
ARC Alternative and Renewable Construction LLC,,Targets Set,1.5°C,2030,No
Arc'teryx Equipment Inc.,,Targets Set,1.5°C,2030,Yes
Arkema,,Committed,,,No
Arkhangelsk Pulp and Paper Mill,RU0005418796,Committed,,,No
Arla Foods,,Targets Set,1.5°C,2030,No
Arm Holdings,GB0000595859,Committed,,,No
"Armada Supply Chain Solutions, LLC",,Targets Set,Well-below 2°C,2030,No
Armstrong Engineering Limited,,Committed,,,No
Artistic Milliners,,Committed,,,Yes
Arup Group Ltd.,,Targets Set,1.5°C,2025,Yes
Asahi Group Company Limited,,Committed,,,No
Asahi Group Holdings,JP3116000005,Targets Set,1.5°C,2030,Yes
"ASE Technology Holding, Co., Ltd.",,Targets Set,Well-below 2°C,2030,No
Asia Cement Corporation,,Targets Set,Well-below 2°C,2025,No
Asia Pacific Resources International Holdings Ltd,,Committed,,,No
ASICS Corporation,JP3118000003,Targets Set,1.5°C,2030,Yes
ASKUL Corporation,JP3119920001,Targets Set,1.5°C,2030,Yes
ASN Bank,,Committed,,,No
Assa Abloy AB,SE0007100581,Committed,,,Yes
Astellas Pharma Inc.,JP3942400007,Targets Set,2°C,2030,No
AstraZeneca,GB0009895292,Targets Set,1.5°C,2026,Yes
AT&T Inc.,US00206R1023,Targets Set,1.5°C,"2030, 2024",No
Atea,NO0004822503,Targets Set,Well-below 2°C,2030,No
Atlassian Corporation Plc,GB00BZ09BD16,Targets Set,1.5°C,2025,Yes
Atos SE,FR0000051732,Targets Set,1.5°C,2025,Yes
Auckland Airport,NZAIAE0002S6,Targets Set,2°C,2025,No
Aurubis AG,,Targets Set,1.5°C,2030,No
Australian Ethical Investment,AU000000AEF4,Committed,,,Yes
Australian Postal Corporation,,Targets Set,Well-below 2°C,2025,No
Austria Glas Recycling GmbH,,Targets Set,Well-below 2°C,2030,No
"Autodesk, Inc.",US0527691069,Targets Set,1.5°C,2031,No
"AvalonBay Communities, Inc.",US0534841012,Targets Set,2°C,2030,No
Avícola Coliumo,,Targets Set,1.5°C,2030,Yes
Avieco,,Targets Set,1.5°C,2030,Yes
AXA Group,FR0000120628,Committed,,,No
Azbil Corporation,JP3937200008,Targets Set,1.5°C,2030,No
Bacardi Limited,BMG069051065,Targets Set,1.5°C,2025,No
Bain & Company,,Targets Set,1.5°C,2026,Yes
Ball Corporation,US0584981064,Targets Set,1.5°C,2030,No
Baluarte Cultura,,Targets Set,1.5°C,2030,Yes
BanColombia SA,COB07PA00078,Committed,,,No
Bank Australia,,Committed,,,No
Bank J. Safra Sarasin AG,CH0038389307,Committed,,,No
Barco NV,,Targets Set,1.5°C,2025,No
Barilla G.R. Fratelli SpA,,Targets Set,2°C,2030,No
BARRATT DEVELOPMENTS PLC,GB0000811801,Targets Set,1.5°C,"2025, 2030",Yes
Barry Callebaut,CH0009002962,Targets Set,1.5°C,2025,No
Bayer AG,DE000BAY0017,Targets Set,1.5°C,2029,Yes
BBVA,ES0113211835,Committed,,,No
BCD Travel,,Committed,,,No
BDP,,Committed,,,No
Beiersdorf AG,DE0005200000,Targets Set,1.5°C,2025,Yes
BEL S.A.,,Targets Set,2°C,2030,Yes
Ben & Jerry's,US0814651065,Targets Set,1.5°C,2030,No
"Benesse Corporation Co., Ltd.",JP3835620000,Targets Set,Well-below 2°C,,No
Bennetts Associates,,Targets Set,1.5°C,2022,Yes
"Berry Global Group, Inc.",US08579W1036,Targets Set,1.5°C,2025,No
Bertegruppen AB,,Targets Set,1.5°C,2030,No
Bertelsmann SE & Co. KGaA,,Targets Set,1.5°C,2030,No
"Best Buy Co., Inc.",US0865161014,Targets Set,Well-below 2°C,2030,No
BESTSELLER A/S,,Targets Set,1.5°C,2030,No
Bharti Airtel Limited,INE397D01024,Targets Set,1.5°C,2031,Yes
BIAL,,Committed,,,No
BillerudKorsnäs,SE0000862997,Targets Set,1.5°C,2030,No
Biogen Inc.,US09062X1037,Targets Set,1.5°C,"2032, 2025",Yes
BLG LOGISTICS GROUP AG & Co. KG,DE0005261606,Targets Set,Well-below 2°C,2030,No
Bloomberg LP,,Targets Set,1.5°C,"2030, 2025",Yes
BMW Group,DE0005190003,Targets Set,1.5°C,2030,Yes
BNP Paribas,FR0000131104,Committed,,,No
Boma Global,,Targets Set,1.5°C,2030,Yes
Bonava AB,SE0008091581,Targets Set,1.5°C,2030,No
Bonnier Books,,Targets Set,1.5°C,2025,No
Bontaz Group,,Committed,,,Yes
Borregaard AS,NO0010657505,Targets Set,Well-below 2°C,2030,Yes
Boston Consulting Group,,Targets Set,1.5°C,2025,Yes
Boston Properties,US1011211018,Targets Set,1.5°C,"2024, 2025",No
bpost SA,BE0974268972,Targets Set,2°C,2030,No
Brambles,,Committed,,,No
Bristlecone Inc,,Targets Set,Well-below 2°C,2032,No
British American Tobacco,GB0002875804,Targets Set,2°C,"2030, 2023",No
BRITVIC PLC,GB00B0N8QD54,Targets Set,1.5°C,2025,No
"Brother Industries, Ltd.",JP3830000000,Targets Set,1.5°C,2030,No
Brown Thomas Arnotts,,Targets Set,1.5°C,2030,No
Brunswick Group,,Targets set,1.5°C,"2028, 2025",No
BT plc,GB0030913577,Targets Set,1.5°C,2030,Yes
Burberry Limited,GB0031743007,Targets Set,1.5°C,"2022, 2029",Yes
C&A,,Targets Set,Well-below 2°C,2030,No
Caesars Entertainment,US1276861036,Targets Set,Well-below 2°C,"2025, 2023",No
Caixa Geral de Depósitos,,Committed,,,No
Cambridge Healthcare Research Limited,,Committed,,,No
Campbell Soup Company,,Targets Set,1.5°C,2030,No
Canadian National Railway Company,CA1363751027,Targets Set,Well-below 2°C,2030,Yes
Canadian Pacific Railway Company,,Targets Set,Well-below 2°C,2030,No
Canary Wharf Group Plc,,Targets Set,1.5°C,"2030, 2025",No
Capgemini Group,FR0000125338,Targets Set,1.5°C,"2030, 2025",Yes
Capitas Finance Limited,,Committed,,,No
Carbon Intelligence,,Targets Set,1.5°C,2030,No
"Cargill, Inc.",,Targets Set,2°C,"2025, 2030",No
Cargotec,,Targets Set,1.5°C,2030,No
Carlsberg Group,DK0010181759,Targets Set,1.5°C,"2022, 2030",Yes
Carrefour,FR0000120172,Targets Set,Well-below 2°C,2030,Yes
Casino Guichard Perrachon SA,FR0000125585,Targets Set,2°C,2025,No
"CASIO COMPUTER CO., LTD.",JP3209000003,Targets Set,Well-below 2°C,2030,No
Castellum AB,SE0000379190,Targets Set,1.5°C,2030,No
Catena AB,,Targets Set,1.5°C,2030,No
CBRE,US12504L1098,Targets Set,1.5°C,2035,Yes
Celestica,CA15101Q1081,Targets Set,1.5°C,2025,No
CELLNEX TELECOM S.A.,ES0105066007,Targets Set,1.5°C,"2030, 2025",No
CEMAsys.com AS,,Targets Set,1.5°C,2030,Yes
"Lumen Technologies, Inc.",US52729N3089,Targets Set,Well-below 2°C,2025,No
CEWE Stiftung & Co. KGaA,DE0005403901,Targets Set,1.5°C,2025,No
Chambers Federation,,Committed,,,Yes
CHANEL,,Targets Set,1.5°C,2030,Yes
"Charles River Laboratories, Inc.",US1598641074,Targets Set,1.5°C,2030,No
"Charoen Pokphand Group Co., Ltd.",,Committed,,,Yes
"Chipotle Mexican Grill, Inc.",,Targets Set,1.5°C,2030,No
Chobani,,Committed,,,No
Chr. Hansen A/S,,Targets Set,1.5°C,2030,No
"Cisco Systems, Inc.",US17275R1023,Targets Set,Well-below 2°C,2022,Yes
City Developments Limited,SG1R89002252,Targets Set,1.5°C,2030,No
Clif Bar & Company,,Targets Set,1.5°C,2030,Yes
Cloetta AB,,Committed,,,No
CMS Cameron McKenna Nabarro Olswang LLP,,Targets Set,1.5°C,2025,No
Coca Cola European Partners,US19122T1097,Targets Set,1.5°C,2030,Yes
Coca-Cola FEMSA,US1912411089,Targets Set,Well-below 2°C,2030,No
Coca-Cola HBC AG,CH0198251305,Targets Set,1.5°C,2030,Yes
Colgate Palmolive Company,US1941621039,Targets Set,1.5°C,"2025, 2030",Yes
Comany Inc.,,Targets Set,1.5°C,"2030, 2024",No
Commercial International Bank Egypt (SAE) CIB,EGS60121C018,Committed,,,No
Commerzbank AG,,Committed,,,No
CommonWealth Partners,US2946281027,Targets Set,Well-below 2°C,2030,No
Community Services.net Pty Ltd (CSnet),,Committed,,,Yes
Companhia Brasileira de Aluminio,,Committed,,,No
Compass Group PLC,GB00BLNN3L44,Targets Set,1.5°C,2030,No
"Conagra Brands, Inc.",US2058871029,Targets Set,Well-below 2°C,2030,No
Consid AB,,Committed,,,Yes
Constantia Flexibles International GmbH,,Targets Set,2°C,2030,No
Contact Energy,NZCENE0001S6,Targets Set,1.5°C,2026,No
Continental,,Targets Set,1.5°C,2030,No
Coop Danmark A/S,,Committed,,,No
Coop Sverige AB,,Targets Set,1.5°C,,No
Corbion,NL0010583399,Targets Set,2°C,2030,Yes
Covivio,FR0000064578,Targets Set,1.5°C,2030,No
Cranswick plc,GB0002318888,Targets Set,1.5°C,2030,No
Credit Agricole,FR0000045072,Committed,,,No
Croda International Plc,GB00BYZWX769,Targets Set,1.5°C,2029,Yes
"Crown Holdings, Inc",US2283681060,Targets Set,1.5°C,2030,No
Crystal Claire Cosmetics Inc.,,Targets Set,Well-below 2°C,2030,No
CSX Corporation,,Targets Set,Well-below 2°C,2029,No
CTT - Correios de Portugal SA,PTCTT0AM0001,Targets Set,Well-below 2°C,2025,No
Cummins,US2310211063,Targets Set,1.5°C,2030,No
Cundall Johnston and Partners LLP,,Targets Set,Well-below 2°C,2025,No
CVS Health,US1266501006,Targets Set,1.5°C,2030,Yes
Cybercom Group AB,SE0000702169,Committed,,,Yes
"Dai Nippon Printing Co., Ltd.",JP3493800001,Targets Set,Well-below 2°C,"2030, 2025",No
"Daiichi Sankyo Co., Ltd.",JP3475350009,Targets Set,Well-below 2°C,"2030, 2020",No
"Dairy Farmers of America, Inc.",,Targets Set,Well-below 2°C,2030,No
"Daito Trust Construction Co., Ltd.",JP3486800000,Targets Set,1.5°C,2030,No
"Daiwa House Industry Co., Ltd.",JP3505000004,Targets Set,Well-below 2°C,"2031, 2026",No
Dalmia Bharat Limited,INE439L01019,Targets Set,Well-below 2°C,2034,Yes
Danfoss,,Committed,,,No
Danieli Group,IT0000076486,Targets Set,1.5°C,2030,No
Danone,FR0000120644,Targets Set,2°C,2030,No
Dawn Meats Group,,Targets Set,1.5°C,2030,No
Daxner & Merl GmbH,,Targets Set,1.5°C,2030,No
Decathlon,FR0124392772,Targets Set,1.5°C,2026,Yes
Dell Technologies,US24703L1035,Targets Set,1.5°C,"2030, 2020",Yes
Delmar International Inc,,Committed,,,No
Deloitte,,Targets Set,1.5°C,"2030, 2025",Yes
Delphi Technologies,JE00BD85SC56,Committed,,,No
Delta Electronics,TW0002308004,Targets Set,2°C,"2025, 2022",Yes
Delta-Simons Environmental Consultants Limited,,Targets Set,1.5°C,2030,No
Denner AG,,Targets Set,1.5°C,"2030, 2024",No
Dentsu International,,Targets Set,1.5°C,2030,Yes
Dentsu Inc.,JP3551520004,Targets Set,2°C,2030,No
Derwent London Plc,GB0002652740,Targets Set,Well-below 2°C,2027,Yes
Deutsche Bahn,,Targets Set,2°C,2030,No
Deutsche Post DHL Group,DE0005552004,Committed,,,Yes
Deutsche Telekom AG,DE0005557508,Targets Set,1.5°C,"2030, 2021",Yes
Dexus,AU000000DXS1,Targets Set,1.5°C,2030,Yes
DGB FINANCIAL GROUP,KR7139130009,Committed,,,No
Diab International AB,,Targets Set,1.5°C,2022,No
Diageo Plc,GB0002374006,Targets Set,1.5°C,2030,Yes
Diam,,Targets Set,1.5°C,2030,No
Diamond Energy Pty Ltd.,,Targets Set,Well-below 2°C,2030,No
diemietwaesche.de GmbH & Co. KG,,Targets Set,2°C,2025,No
Digital Realty,,Targets Set,1.5°C,2030,No
Direct Line Insurance Group plc,,Committed,,,No
DLA Piper International,,Targets Set,1.5°C,2030,No
dormakaba,CH0011795959,Targets Set,Well-below 2°C,2030,No
Dr. Reddy’s Laboratories Ltd.,INE089A01023,Targets Set,1.5°C,2030,No
Drax Group plc,GB00B1VNSX38,Committed,,,No
DSV Panalpina,CH0002168083,Targets Set,Well-below 2°C,2030,No
